epci2020;semaine_glissante;clage_65;ti
243100518;2020-10-12-2020-10-18;0;355.4
243300316;2020-10-12-2020-10-18;0;147.1
243400017;2020-10-12-2020-10-18;0;319.6
243500139;2020-10-12-2020-10-18;0;159.2
243700754;2020-10-12-2020-10-18;0;240.1
244200770;2020-10-12-2020-10-18;0;825.3
244400404;2020-10-12-2020-10-18;0;210.4
244500468;2020-10-12-2020-10-18;0;260.8
245400676;2020-10-12-2020-10-18;0;200
245900410;2020-10-12-2020-10-18;0;706.1
246300701;2020-10-12-2020-10-18;0;347
246700488;2020-10-12-2020-10-18;0;259.8
248300543;2020-10-12-2020-10-18;0;185.9
200023414;2020-10-13-2020-10-19;0;289.3
200030195;2020-10-13-2020-10-19;0;162.2
200039865;2020-10-13-2020-10-19;0;218
200040715;2020-10-13-2020-10-19;0;611.4
200046977;2020-10-13-2020-10-19;0;642.4
200054781;2020-10-13-2020-10-19;0;427
200054807;2020-10-13-2020-10-19;0;378
242100410;2020-10-13-2020-10-19;0;284.2
242900314;2020-10-13-2020-10-19;0;112.3
243100518;2020-10-13-2020-10-19;0;379.5
243300316;2020-10-13-2020-10-19;0;155
243400017;2020-10-13-2020-10-19;0;328.6
243500139;2020-10-13-2020-10-19;0;167.4
243700754;2020-10-13-2020-10-19;0;259.6
244200770;2020-10-13-2020-10-19;0;873.3
244400404;2020-10-13-2020-10-19;0;233.7
244500468;2020-10-13-2020-10-19;0;269.3
245400676;2020-10-13-2020-10-19;0;218
245900410;2020-10-13-2020-10-19;0;737.7
246300701;2020-10-13-2020-10-19;0;378.4
246700488;2020-10-13-2020-10-19;0;317.2
248300543;2020-10-13-2020-10-19;0;210.5
200023414;2020-10-14-2020-10-20;0;295.7
200030195;2020-10-14-2020-10-20;0;166.7
200039865;2020-10-14-2020-10-20;0;245
200040715;2020-10-14-2020-10-20;0;648.7
200046977;2020-10-14-2020-10-20;0;678.8
200054781;2020-10-14-2020-10-20;0;445.5
200054807;2020-10-14-2020-10-20;0;422.9
242100410;2020-10-14-2020-10-20;0;302
242900314;2020-10-14-2020-10-20;0;130.1
243100518;2020-10-14-2020-10-20;0;393.2
243300316;2020-10-14-2020-10-20;0;164.9
243400017;2020-10-14-2020-10-20;0;342.9
243500139;2020-10-14-2020-10-20;0;184.1
243700754;2020-10-14-2020-10-20;0;288.2
244200770;2020-10-14-2020-10-20;0;928.2
244400404;2020-10-14-2020-10-20;0;259.3
244500468;2020-10-14-2020-10-20;0;281.3
245400676;2020-10-14-2020-10-20;0;245.1
245900410;2020-10-14-2020-10-20;0;764.4
246300701;2020-10-14-2020-10-20;0;424.2
246700488;2020-10-14-2020-10-20;0;363.4
248300543;2020-10-14-2020-10-20;0;235.5
200023414;2020-10-15-2020-10-21;0;309.8
200030195;2020-10-15-2020-10-21;0;171.8
200039865;2020-10-15-2020-10-21;0;287.1
200040715;2020-10-15-2020-10-21;0;687.3
200046977;2020-10-15-2020-10-21;0;722.6
200054781;2020-10-15-2020-10-21;0;465.6
200054807;2020-10-15-2020-10-21;0;467
242100410;2020-10-15-2020-10-21;0;339.7
242900314;2020-10-15-2020-10-21;0;139.1
243100518;2020-10-15-2020-10-21;0;425.6
243300316;2020-10-15-2020-10-21;0;185
243400017;2020-10-15-2020-10-21;0;371.1
243500139;2020-10-15-2020-10-21;0;195.3
243700754;2020-10-15-2020-10-21;0;312.6
244200770;2020-10-15-2020-10-21;0;982.6
244400404;2020-10-15-2020-10-21;0;286.1
244500468;2020-10-15-2020-10-21;0;312.5
245400676;2020-10-15-2020-10-21;0;265.4
245900410;2020-10-15-2020-10-21;0;809.8
246300701;2020-10-15-2020-10-21;0;458.2
246700488;2020-10-15-2020-10-21;0;409
248300543;2020-10-15-2020-10-21;0;285.1
200023414;2020-10-16-2020-10-22;0;334.2
200030195;2020-10-16-2020-10-22;0;192.2
200039865;2020-10-16-2020-10-22;0;343.4
200040715;2020-10-16-2020-10-22;0;737.2
200046977;2020-10-16-2020-10-22;0;764.9
200054781;2020-10-16-2020-10-22;0;486.6
200054807;2020-10-16-2020-10-22;0;513.9
242100410;2020-10-16-2020-10-22;0;378.3
242900314;2020-10-16-2020-10-22;0;147.5
243100518;2020-10-16-2020-10-22;0;434.5
243300316;2020-10-16-2020-10-22;0;201.7
243400017;2020-10-16-2020-10-22;0;381.4
243500139;2020-10-16-2020-10-22;0;208
243700754;2020-10-16-2020-10-22;0;354.9
244200770;2020-10-16-2020-10-22;0;1050.7
244400404;2020-10-16-2020-10-22;0;308.3
244500468;2020-10-16-2020-10-22;0;344.1
245400676;2020-10-16-2020-10-22;0;308.3
245900410;2020-10-16-2020-10-22;0;841.9
246300701;2020-10-16-2020-10-22;0;495.7
246700488;2020-10-16-2020-10-22;0;466.7
248300543;2020-10-16-2020-10-22;0;320.9
200023414;2020-10-17-2020-10-23;0;344.1
200030195;2020-10-17-2020-10-23;0;215.5
200039865;2020-10-17-2020-10-23;0;394.7
200040715;2020-10-17-2020-10-23;0;780.7
200046977;2020-10-17-2020-10-23;0;797.5
200054781;2020-10-17-2020-10-23;0;506.4
200054807;2020-10-17-2020-10-23;0;556.8
242100410;2020-10-17-2020-10-23;0;417.3
242900314;2020-10-17-2020-10-23;0;162.3
243100518;2020-10-17-2020-10-23;0;462.8
243300316;2020-10-17-2020-10-23;0;228.2
243400017;2020-10-17-2020-10-23;0;412.2
243500139;2020-10-17-2020-10-23;0;226.3
243700754;2020-10-17-2020-10-23;0;375
244200770;2020-10-17-2020-10-23;0;1120.4
244400404;2020-10-17-2020-10-23;0;326
244500468;2020-10-17-2020-10-23;0;385.6
245400676;2020-10-17-2020-10-23;0;333
245900410;2020-10-17-2020-10-23;0;887.7
246300701;2020-10-17-2020-10-23;0;527.3
246700488;2020-10-17-2020-10-23;0;524.7
248300543;2020-10-17-2020-10-23;0;351.6
200023414;2020-10-18-2020-10-24;0;354.2
200030195;2020-10-18-2020-10-24;0;220.1
200039865;2020-10-18-2020-10-24;0;415.1
200040715;2020-10-18-2020-10-24;0;801.5
200046977;2020-10-18-2020-10-24;0;834.7
200054781;2020-10-18-2020-10-24;0;515.1
200054807;2020-10-18-2020-10-24;0;568.8
242100410;2020-10-18-2020-10-24;0;432.5
242900314;2020-10-18-2020-10-24;0;169.7
243100518;2020-10-18-2020-10-24;0;466.4
243300316;2020-10-18-2020-10-24;0;232.3
243400017;2020-10-18-2020-10-24;0;448.6
243500139;2020-10-18-2020-10-24;0;233.9
243700754;2020-10-18-2020-10-24;0;391.2
244200770;2020-10-18-2020-10-24;0;1136.9
244400404;2020-10-18-2020-10-24;0;338.2
244500468;2020-10-18-2020-10-24;0;405.2
245400676;2020-10-18-2020-10-24;0;352.7
245900410;2020-10-18-2020-10-24;0;923.8
246300701;2020-10-18-2020-10-24;0;546.1
246700488;2020-10-18-2020-10-24;0;570.2
248300543;2020-10-18-2020-10-24;0;369.4
200023414;2020-10-19-2020-10-25;0;363.8
200030195;2020-10-19-2020-10-25;0;223
200039865;2020-10-19-2020-10-25;0;418.7
200040715;2020-10-19-2020-10-25;0;801.6
200046977;2020-10-19-2020-10-25;0;838.3
200054781;2020-10-19-2020-10-25;0;517.2
200054807;2020-10-19-2020-10-25;0;572.5
242100410;2020-10-19-2020-10-25;0;447.8
242900314;2020-10-19-2020-10-25;0;169.3
243100518;2020-10-19-2020-10-25;0;476
243300316;2020-10-19-2020-10-25;0;235.9
243400017;2020-10-19-2020-10-25;0;445.1
243500139;2020-10-19-2020-10-25;0;235.2
243700754;2020-10-19-2020-10-25;0;392
244200770;2020-10-19-2020-10-25;0;1159.2
244400404;2020-10-19-2020-10-25;0;343.2
244500468;2020-10-19-2020-10-25;0;426.7
245400676;2020-10-19-2020-10-25;0;356.5
245900410;2020-10-19-2020-10-25;0;942.4
246300701;2020-10-19-2020-10-25;0;564
246700488;2020-10-19-2020-10-25;0;576.7
248300543;2020-10-19-2020-10-25;0;369.4
200023414;2020-10-20-2020-10-26;0;407.6
200030195;2020-10-20-2020-10-26;0;253.7
200039865;2020-10-20-2020-10-26;0;463.4
200040715;2020-10-20-2020-10-26;0;852.1
200046977;2020-10-20-2020-10-26;0;867.9
200054781;2020-10-20-2020-10-26;0;544.1
200054807;2020-10-20-2020-10-26;0;600.4
242100410;2020-10-20-2020-10-26;0;513.5
242900314;2020-10-20-2020-10-26;0;175
243100518;2020-10-20-2020-10-26;0;474.9
243300316;2020-10-20-2020-10-26;0;258.5
243400017;2020-10-20-2020-10-26;0;471.5
243500139;2020-10-20-2020-10-26;0;254.4
243700754;2020-10-20-2020-10-26;0;417.2
244200770;2020-10-20-2020-10-26;0;1206.5
244400404;2020-10-20-2020-10-26;0;359.7
244500468;2020-10-20-2020-10-26;0;479.6
245400676;2020-10-20-2020-10-26;0;391.4
245900410;2020-10-20-2020-10-26;0;985.5
246300701;2020-10-20-2020-10-26;0;598.7
246700488;2020-10-20-2020-10-26;0;634.6
248300543;2020-10-20-2020-10-26;0;426.1
200023414;2020-10-21-2020-10-27;0;424.3
200030195;2020-10-21-2020-10-27;0;283.6
200039865;2020-10-21-2020-10-27;0;485.2
200040715;2020-10-21-2020-10-27;0;893.1
200046977;2020-10-21-2020-10-27;0;891
200054781;2020-10-21-2020-10-27;0;556.4
200054807;2020-10-21-2020-10-27;0;604.7
242100410;2020-10-21-2020-10-27;0;580.3
